country,2010,2011,2012,2013,2014,2015,2016
Albania,52.83840000000002,53.499599999999994,54.0175,54.42110000000002,54.7911,55.166250000000005,55.581825
Algeria,63.38295,63.6,63.6944,63.863800000000005,64.08005,64.13550000000001,64.26644999999999
Argentina,54.62265000000001,55.676249999999996,56.54477499999998,57.37972500000002,58.140600000000006,59.05720000000001,59.747275
Armenia,51.7524,52.0773,52.769200000000005,53.208,53.648399999999995,54.239,54.497399999999985
Australia,67.28085,67.89637500000002,68.51425,69.05120000000001,69.58965,70.08825,70.714875
Austria,51.713100000000026,52.73744999999998,53.60355,54.708749999999995,55.6626,56.45689999999999,57.370425
Azerbaijan,54.244,54.82970000000002,55.123675000000006,55.60040000000001,55.932199999999995,56.15390000000001,56.592
Bahamas,66.28920000000001,66.429375,66.4875,66.545325,66.67815,66.660075,66.717
Bahrain,60.38849999999998,60.39145000000002,60.433725,60.4374,60.440625,60.4041,60.33015
Bangladesh,52.582125000000005,53.27244999999998,53.896125000000005,54.44955,55.11135,55.560249999999996,56.01089999999999
Barbados,68.72075000000001,68.90424999999999,69.03359999999998,69.1795,69.309,69.49259999999998,69.63029999999999
Belarus,48.3918,49.09005,49.86625,50.57715,51.22215,51.7624,52.23345
Belgium,55.07440000000002,55.57859999999998,56.119200000000006,56.6618,57.211375000000004,57.681700000000006,58.18925
Benin,54.9711,55.292175,55.6605,55.936575,56.276375,56.6004,56.97195
Bosnia and Herzegovina,44.1447,44.64135,45.0808,45.58095,46.121375,46.44185,46.94745
Botswana,48.029624999999996,49.072874999999996,50.084900000000005,51.0072,51.929500000000004,52.7716,53.366625
Brazil,61.03702499999999,61.7344,62.5055,63.1312,63.75497500000002,64.376375,64.93
Brunei,64.12462500000001,64.16975,64.208175,64.2466,64.29172499999999,64.42025000000001,64.54237499999999
Bulgaria,42.7671,43.54899999999999,44.3716,44.907399999999996,45.6246,46.283,46.968374999999995
Burkina Faso,49.077,49.82395,50.400349999999996,51.0663,51.57515,52.099425000000004,52.61175
Cambodia,51.86422499999998,52.790074999999995,53.583000000000006,54.40325,55.2015,55.9368,56.56027499999999
Canada,66.3,67.07407499999998,67.85115,68.4666,69.208,69.8275,70.57395
Cape Verde,64.33279999999999,64.56620000000001,64.8,65.115375,65.32305,65.6125,65.9389
Chile,44.11104999999999,45.00915000000001,45.960799999999985,46.797475,47.66714999999999,48.4704,49.3471
China,55.270199999999996,55.75675,55.90445,56.20569999999999,56.544,56.845975,57.11055
Colombia,64.437975,65.01820000000002,65.59299999999998,66.10355,66.65294999999999,67.122,67.67505
Comoros,51.96505,52.47675,53.06455,53.538975,53.983875,54.38775,54.782000000000004
"Congo, Rep.",51.546,51.453199999999995,51.0351,50.42295,49.505449999999996,48.49164999999999,47.194500000000005
Costa Rica,67.921875,68.331225,68.69834999999999,69.18925,69.558475,70.01235,70.3919
Croatia,49.37474999999999,49.311875,49.29289999999999,49.15124999999999,49.015125,48.8781,48.810399999999994
Cuba,48.664,49.23975,49.737599999999986,50.31585000000001,50.76855,51.023599999999995,51.678
Cyprus,49.228,49.6306,50.114399999999996,50.44,50.8468,51.102599999999995,51.39924999999999
Czech Republic,50.9056,51.10852499999999,51.20079999999999,51.2601,51.4696,51.489525,51.62719999999999
Denmark,59.7882,60.89079999999998,61.921275,62.796600000000005,63.717,64.560825,65.367125
Djibouti,51.641999999999996,52.178875000000005,52.761,53.2471,53.642224999999996,54.001875,54.3125
Dominican Republic,61.74037499999999,62.12902500000002,62.48225,62.83647499999998,63.10590000000002,63.461875,63.74489999999998
Ecuador,68.30345,68.74889999999999,69.158,69.60615,70.063875,70.51490000000001,70.890975
Egypt,55.052800000000005,54.9621,54.7992,54.457,54.147600000000004,53.7979,53.555175
