country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Albania,11.8,,,,,10,,,,,8.6,8.3,8,7.8,7.5,7.3,7.1
Algeria,5.6,,,,,2.9,,,,,1.5,1.3,1.2,1,0.9,0.8,0.7
Andorra,30.8,,,,,30,,,,,29.5,29.2,29.2,29.1,29.1,29,29
Argentina,37.8,,,,,29,,,,,22.2,21,20,18.9,18,17,16.2
Armenia,2.6,,,,,2.2,,,,,1.8,1.8,1.7,1.7,1.6,1.5,1.5
Australia,22.4,,,,,18.9,,,,,16,15.4,14.9,14.4,13.9,13.5,13
Austria,44,,,,,38.2,,,,,33.3,32.5,31.7,30.6,29.9,29,28.4
Azerbaijan,0.6,,,,,0.5,,,,,0.4,0.4,0.4,0.4,0.4,0.3,0.3
Bahamas,4.9,,,,,4.2,,,,,3.6,3.5,3.4,3.3,3.2,3.2,3.1
Bahrain,8.8,,,,,7.6,,,,,6.7,6.5,6.4,6.2,6,5.9,5.8
Bangladesh,5.9,,,,,3.3,,,,,1.9,1.7,1.5,1.3,1.2,1.1,1
Barbados,3.1,,,,,2.7,,,,,2.3,2.2,2.2,2.1,2,2,1.9
Belarus,13.3,,,,,12.3,,,,,11.4,11.3,11.1,10.9,10.8,10.6,10.5
Belgium,30.9,,,,,28.7,,,,,26.9,26.6,26.4,26,25.6,25.4,25.1
Benin,2.1,,,,,1.4,,,,,1,0.9,0.9,0.8,0.7,0.7,0.6
Bosnia and Herzegovina,36.2,,,,,33.9,,,,,32.1,31.9,31.6,31.2,30.9,30.5,30.2
Botswana,8.2,,,,,7.3,,,,,6.5,6.4,6.2,6.1,5.9,5.8,5.7
Brazil,20.1,,,,,16.1,,,,,12.9,12.5,11.9,11.5,11,10.5,10.1
Brunei,4.1,,,,,3.2,,,,,2.6,2.5,2.4,2.2,2.2,2.1,2
Bulgaria,43.8,,,,,38.6,,,,,34.4,33.6,32.6,32.2,31.4,30.6,30.1
Burkina Faso,8.2,,,,,4.9,,,,,2.9,2.6,2.4,2.2,2,1.8,1.6
Cambodia,6.9,,,,,4.7,,,,,3.2,2.9,2.7,2.5,2.3,2.1,2
Canada,26.5,,,,,20.7,,,,,16.1,15.4,14.6,13.9,13.3,12.7,12
Cape Verde,7.2,,,,,4.8,,,,,3.3,3.1,2.8,2.6,2.5,2.3,2.1
Chile,54,,,,,46.6,,,,,40.2,39.3,38.1,37,36,35.1,34.2
China,3.2,,,,,2.7,,,,,2.3,2.2,2.2,2.1,2,2,1.9
Colombia,13.1,,,,,9.4,,,,,6.8,6.4,6,5.7,5.4,5,4.7
Comoros,12.6,,,,,9,,,,,6.5,6.1,5.7,5.3,5,4.7,4.4
"Congo, Rep.",1.7,,,,,1.7,,,,,1.7,1.7,1.7,1.7,1.7,1.7,1.7
Costa Rica,9.5,,,,,8.3,,,,,7.3,7.2,7,6.8,6.7,6.5,6.4
Croatia,26.5,,,,,28.7,,,,,30.9,31.6,32.1,32.5,33.1,33.7,34.3
Cuba,33.2,,,,,26.7,,,,,21.8,20.8,20,19.1,18.4,17.8,17.1
Cyprus,23,,,,,21.7,,,,,20.6,20.5,20.3,20.1,19.9,19.7,19.6
Czech Republic,28.7,,,,,29.3,,,,,29.7,29.8,30.1,30.3,30.2,30.3,30.5
Denmark,34,,,,,28.4,,,,,23.7,23,22.2,21.4,20.7,19.9,19.3
Djibouti,3,,,,,2.5,,,,,2.1,2,1.9,1.8,1.8,1.7,1.7
Dominican Republic,15.5,,,,,12.7,,,,,10.5,10.1,9.8,9.4,9.1,8.8,8.5
