country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Albania,57.6,,,,,55.7,,,,,53.8,53.1,52.6,52.3,52.1,51.7,51.2
Algeria,27.4,,,,,28,,,,,28.8,29.1,29.4,29.6,29.8,30.2,30.4
Andorra,43.7,,,,,41.7,,,,,39.7,39.4,39,38.8,38.5,38.2,37.8
Argentina,45.3,,,,,38.8,,,,,33.2,32,31.1,30.2,29.4,28.4,27.7
Armenia,66.9,,,,,61.4,,,,,56.8,56.3,55.1,54.3,53.6,52.5,52.1
Australia,26.7,,,,,22.9,,,,,19.7,19.1,18.5,18,17.5,17,16.5
Austria,54.7,,,,,45.8,,,,,38.3,36.8,35.7,34.4,33,32.2,30.9
Azerbaijan,55.4,,,,,50.8,,,,,46.8,45.8,45.3,44.4,43.8,43.5,42.5
Bahamas,16.8,,,,,17.6,,,,,18.8,19,19.3,19.6,19.7,20.1,20.4
Bahrain,31.6,,,,,33,,,,,34.8,35.2,35.5,36,36.5,36.9,37.6
Bangladesh,55.9,,,,,52.2,,,,,48.4,47.6,47,46.5,45.5,45.1,44.7
Barbados,14,,,,,14,,,,,14.2,14.3,14.2,14.4,14.4,14.4,14.5
Belarus,64.3,,,,,57.8,,,,,51.9,51,49.9,48.9,47.8,47,46.1
Belgium,44.4,,,,,39.8,,,,,35.5,34.8,34,33.4,32.7,32,31.4
Benin,16.5,,,,,15,,,,,13.6,13.4,13.1,12.9,12.8,12.5,12.3
Bosnia and Herzegovina,59.4,,,,,55,,,,,51.5,50.7,50,49.4,48.6,48.4,47.7
Botswana,31,,,,,31.8,,,,,33,33.1,33.4,33.5,33.7,33.8,34.4
Brazil,30.6,,,,,25.7,,,,,21.8,21.1,20.3,19.7,19.1,18.4,17.9
Brunei,29.7,,,,,29.9,,,,,30.3,30.5,30.5,30.6,30.7,30.9,30.9
Bulgaria,60.8,,,,,54.7,,,,,49.7,48.7,47.8,47,46.2,45.4,44.4
Burkina Faso,27,,,,,26,,,,,24.9,24.7,24.7,24.4,24.2,24.1,23.9
Cambodia,56.2,,,,,47.9,,,,,40.7,39.4,38.3,36.9,35.7,34.7,33.7
Canada,29.9,,,,,24.9,,,,,20.7,19.9,19.2,18.7,17.9,17.3,16.6
Cape Verde,19.6,,,,,18.5,,,,,17.5,17.3,17.2,16.9,16.8,16.7,16.5
Chile,59.3,,,,,52.7,,,,,47.2,46.1,45.1,44.3,43.4,42.5,41.5
China,56,,,,,53.3,,,,,50.9,50.1,50.1,49.6,49.2,48.7,48.4
Colombia,27.4,,,,,21.7,,,,,17.5,16.8,16,15.4,14.7,14.2,13.5
Comoros,29.7,,,,,27.6,,,,,25.6,25.3,24.9,24.6,24.3,24,23.6
"Congo, Rep.",9.8,,,,,16.5,,,,,27.9,30.7,34.2,38.1,42.5,47,52.3
Costa Rica,26.5,,,,,23.1,,,,,20.2,19.7,19.3,18.7,18.2,17.7,17.4
Croatia,40.5,,,,,40.4,,,,,40.1,39.9,39.7,40,40,40,39.9
Cuba,58.3,,,,,56.5,,,,,55,54.7,54.4,54,53.8,54,53.3
Cyprus,61.7,,,,,58.6,,,,,55.4,54.8,54.1,53.8,53.3,53.1,52.7
Czech Republic,40,,,,,39.6,,,,,39.1,38.9,38.7,38.6,38.5,38.6,38.3
Denmark,42.7,,,,,33.1,,,,,25.7,24.2,22.9,22,20.8,19.8,18.8
